code	notes	emoji	description	ASCII	tagged_desc	url
1F600	fully-qualified     # 😀 E1.0 grinning face	😀	grinning face	<f0><9f><98><80>	jaugur_grinning_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face_1f600.png
1F603	fully-qualified     # 😃 E0.6 grinning face with big eyes	😃	grinning face with big eyes	<f0><9f><98><83>	jaugur_grinning_face_with_big_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-big-eyes_1f603.png
1F604	fully-qualified     # 😄 E0.6 grinning face with smiling eyes	😄	grinning face with smiling eyes	<f0><9f><98><84>	jaugur_grinning_face_with_smiling_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-smiling-eyes_1f604.png
1F601	fully-qualified     # 😁 E0.6 beaming face with smiling eyes	😁	beaming face with smiling eyes	<f0><9f><98><81>	jaugur_beaming_face_with_smiling_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/beaming-face-with-smiling-eyes_1f601.png
1F606	fully-qualified     # 😆 E0.6 grinning squinting face	😆	grinning squinting face	<f0><9f><98><86>	jaugur_grinning_squinting_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-squinting-face_1f606.png
1F605	fully-qualified     # 😅 E0.6 grinning face with sweat	😅	grinning face with sweat	<f0><9f><98><85>	jaugur_grinning_face_with_sweat 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-sweat_1f605.png
1F923	fully-qualified     # 🤣 E3.0 rolling on the floor laughing	🤣	rolling on the floor laughing	<f0><9f><a4><a3>	jaugur_rolling_on_the_floor_laughing 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/rolling-on-the-floor-laughing_1f923.png
1F602	fully-qualified     # 😂 E0.6 face with tears of joy	😂	face with tears of joy	<f0><9f><98><82>	jaugur_face_with_tears_of_joy 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-tears-of-joy_1f602.png
1F642	fully-qualified     # 🙂 E1.0 slightly smiling face	🙂	slightly smiling face	<f0><9f><99><82>	jaugur_slightly_smiling_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/slightly-smiling-face_1f642.png
1F643	fully-qualified     # 🙃 E1.0 upside-down face	🙃	upside-down face	<f0><9f><99><83>	jaugur_upside-down_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/upside-down-face_1f643.png
1F609	fully-qualified     # 😉 E0.6 winking face	😉	winking face	<f0><9f><98><89>	jaugur_winking_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/winking-face_1f609.png
1F60A	fully-qualified     # 😊 E0.6 smiling face with smiling eyes	😊	smiling face with smiling eyes	<f0><9f><98><8a>	jaugur_smiling_face_with_smiling_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-smiling-eyes_1f60a.png
1F607	fully-qualified     # 😇 E1.0 smiling face with halo	😇	smiling face with halo	<f0><9f><98><87>	jaugur_smiling_face_with_halo 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-halo_1f607.png
1F970	fully-qualified     # 🥰 E11.0 smiling face with hearts	🥰	smiling face with hearts	<f0><9f><a5><b0>	jaugur_smiling_face_with_hearts 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-hearts_1f970.png
1F60D	fully-qualified     # 😍 E0.6 smiling face with heart-eyes	😍	smiling face with heart-eyes	<f0><9f><98><8d>	jaugur_smiling_face_with_heart-eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-heart-eyes_1f60d.png
1F929	fully-qualified     # 🤩 E5.0 star-struck	🤩	star-struck	<f0><9f><a4><a9>	jaugur_star-struck 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/star-struck_1f929.png
1F618	fully-qualified     # 😘 E0.6 face blowing a kiss	😘	face blowing a kiss	<f0><9f><98><98>	jaugur_face_blowing_a_kiss 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-blowing-a-kiss_1f618.png
1F617	fully-qualified     # 😗 E1.0 kissing face	😗	kissing face	<f0><9f><98><97>	jaugur_kissing_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/kissing-face_1f617.png
263A FE0F	fully-qualified     # ☺️ E0.6 smiling face	☺️	smiling face	<e2><98><ba><ef><b8><8f>	jaugur_smiling_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face_263a-fe0f.png
263A	unqualified         # ☺ E0.6 smiling face	☺	smiling face	<e2><98><ba>	jaugur_smiling_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face_263a-fe0f.png
1F61A	fully-qualified     # 😚 E0.6 kissing face with closed eyes	😚	kissing face with closed eyes	<f0><9f><98><9a>	jaugur_kissing_face_with_closed_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/kissing-face-with-closed-eyes_1f61a.png
1F619	fully-qualified     # 😙 E1.0 kissing face with smiling eyes	😙	kissing face with smiling eyes	<f0><9f><98><99>	jaugur_kissing_face_with_smiling_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/kissing-face-with-smiling-eyes_1f619.png
1F972	fully-qualified     # 🥲 E13.0 smiling face with tear	🥲	smiling face with tear	<f0><9f><a5><b2>	jaugur_smiling_face_with_tear 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-tear_1f972.png
1F60B	fully-qualified     # 😋 E0.6 face savoring food	😋	face savoring food	<f0><9f><98><8b>	jaugur_face_savoring_food 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-savoring-food_1f60b.png
1F61B	fully-qualified     # 😛 E1.0 face with tongue	😛	face with tongue	<f0><9f><98><9b>	jaugur_face_with_tongue 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-tongue_1f61b.png
1F61C	fully-qualified     # 😜 E0.6 winking face with tongue	😜	winking face with tongue	<f0><9f><98><9c>	jaugur_winking_face_with_tongue 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/winking-face-with-tongue_1f61c.png
1F92A	fully-qualified     # 🤪 E5.0 zany face	🤪	zany face	<f0><9f><a4><aa>	jaugur_zany_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/zany-face_1f92a.png
1F61D	fully-qualified     # 😝 E0.6 squinting face with tongue	😝	squinting face with tongue	<f0><9f><98><9d>	jaugur_squinting_face_with_tongue 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/squinting-face-with-tongue_1f61d.png
1F911	fully-qualified     # 🤑 E1.0 money-mouth face	🤑	money-mouth face	<f0><9f><a4><91>	jaugur_money-mouth_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/money-mouth-face_1f911.png
1F917	fully-qualified     # 🤗 E1.0 hugging face	🤗	hugging face	<f0><9f><a4><97>	jaugur_hugging_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/hugging-face_1f917.png
1F92D	fully-qualified     # 🤭 E5.0 face with hand over mouth	🤭	face with hand over mouth	<f0><9f><a4><ad>	jaugur_face_with_hand_over_mouth 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-hand-over-mouth_1f92d.png
1F92B	fully-qualified     # 🤫 E5.0 shushing face	🤫	shushing face	<f0><9f><a4><ab>	jaugur_shushing_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/shushing-face_1f92b.png
1F914	fully-qualified     # 🤔 E1.0 thinking face	🤔	thinking face	<f0><9f><a4><94>	jaugur_thinking_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/thinking-face_1f914.png
1F910	fully-qualified     # 🤐 E1.0 zipper-mouth face	🤐	zipper-mouth face	<f0><9f><a4><90>	jaugur_zipper-mouth_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/zipper-mouth-face_1f910.png
1F928	fully-qualified     # 🤨 E5.0 face with raised eyebrow	🤨	face with raised eyebrow	<f0><9f><a4><a8>	jaugur_face_with_raised_eyebrow 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-raised-eyebrow_1f928.png
1F610	fully-qualified     # 😐 E0.7 neutral face	😐	neutral face	<f0><9f><98><90>	jaugur_neutral_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/neutral-face_1f610.png
1F611	fully-qualified     # 😑 E1.0 expressionless face	😑	expressionless face	<f0><9f><98><91>	jaugur_expressionless_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/expressionless-face_1f611.png
1F636	fully-qualified     # 😶 E1.0 face without mouth	😶	face without mouth	<f0><9f><98><b6>	jaugur_face_without_mouth 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-without-mouth_1f636.png
1F636 200D 1F32B FE0F	fully-qualified     # 😶‍🌫️ E13.1 face in clouds	😶‍🌫️	face in clouds	<f0><9f><98><b6><e2><80><8d><f0><9f><8c><ab><ef><b8><8f>	jaugur_face_in_clouds 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/274/face-in-clouds_1f636-200d-1f32b-fe0f.png
1F636 200D 1F32B	minimally-qualified # 😶‍🌫 E13.1 face in clouds	😶‍🌫	face in clouds	<f0><9f><98><b6><e2><80><8d><f0><9f><8c><ab>	jaugur_face_in_clouds 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/274/face-in-clouds_1f636-200d-1f32b-fe0f.png
1F60F	fully-qualified     # 😏 E0.6 smirking face	😏	smirking face	<f0><9f><98><8f>	jaugur_smirking_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smirking-face_1f60f.png
1F612	fully-qualified     # 😒 E0.6 unamused face	😒	unamused face	<f0><9f><98><92>	jaugur_unamused_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/unamused-face_1f612.png
1F644	fully-qualified     # 🙄 E1.0 face with rolling eyes	🙄	face with rolling eyes	<f0><9f><99><84>	jaugur_face_with_rolling_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-rolling-eyes_1f644.png
1F62C	fully-qualified     # 😬 E1.0 grimacing face	😬	grimacing face	<f0><9f><98><ac>	jaugur_grimacing_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grimacing-face_1f62c.png
1F62E 200D 1F4A8	fully-qualified     # 😮‍💨 E13.1 face exhaling	😮‍💨	face exhaling	<f0><9f><98><ae><e2><80><8d><f0><9f><92><a8>	jaugur_face_exhaling 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/274/face-exhaling_1f62e-200d-1f4a8.png
1F925	fully-qualified     # 🤥 E3.0 lying face	🤥	lying face	<f0><9f><a4><a5>	jaugur_lying_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/lying-face_1f925.png
1F60C	fully-qualified     # 😌 E0.6 relieved face	😌	relieved face	<f0><9f><98><8c>	jaugur_relieved_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/relieved-face_1f60c.png
1F614	fully-qualified     # 😔 E0.6 pensive face	😔	pensive face	<f0><9f><98><94>	jaugur_pensive_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/pensive-face_1f614.png
1F62A	fully-qualified     # 😪 E0.6 sleepy face	😪	sleepy face	<f0><9f><98><aa>	jaugur_sleepy_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/sleepy-face_1f62a.png
1F924	fully-qualified     # 🤤 E3.0 drooling face	🤤	drooling face	<f0><9f><a4><a4>	jaugur_drooling_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/drooling-face_1f924.png
1F634	fully-qualified     # 😴 E1.0 sleeping face	😴	sleeping face	<f0><9f><98><b4>	jaugur_sleeping_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/sleeping-face_1f634.png
1F637	fully-qualified     # 😷 E0.6 face with medical mask	😷	face with medical mask	<f0><9f><98><b7>	jaugur_face_with_medical_mask 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-medical-mask_1f637.png
1F912	fully-qualified     # 🤒 E1.0 face with thermometer	🤒	face with thermometer	<f0><9f><a4><92>	jaugur_face_with_thermometer 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-thermometer_1f912.png
1F915	fully-qualified     # 🤕 E1.0 face with head-bandage	🤕	face with head-bandage	<f0><9f><a4><95>	jaugur_face_with_head-bandage 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-head-bandage_1f915.png
1F922	fully-qualified     # 🤢 E3.0 nauseated face	🤢	nauseated face	<f0><9f><a4><a2>	jaugur_nauseated_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/nauseated-face_1f922.png
1F92E	fully-qualified     # 🤮 E5.0 face vomiting	🤮	face vomiting	<f0><9f><a4><ae>	jaugur_face_vomiting 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-vomiting_1f92e.png
1F927	fully-qualified     # 🤧 E3.0 sneezing face	🤧	sneezing face	<f0><9f><a4><a7>	jaugur_sneezing_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/sneezing-face_1f927.png
1F975	fully-qualified     # 🥵 E11.0 hot face	🥵	hot face	<f0><9f><a5><b5>	jaugur_hot_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/hot-face_1f975.png
1F976	fully-qualified     # 🥶 E11.0 cold face	🥶	cold face	<f0><9f><a5><b6>	jaugur_cold_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/cold-face_1f976.png
1F974	fully-qualified     # 🥴 E11.0 woozy face	🥴	woozy face	<f0><9f><a5><b4>	jaugur_woozy_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woozy-face_1f974.png
1F635	fully-qualified     # 😵 E0.6 knocked-out face	😵	knocked-out face	<f0><9f><98><b5>	jaugur_knocked-out_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/dizzy-face_1f635.png
1F635 200D 1F4AB	fully-qualified     # 😵‍💫 E13.1 face with spiral eyes	😵‍💫	face with spiral eyes	<f0><9f><98><b5><e2><80><8d><f0><9f><92><ab>	jaugur_face_with_spiral_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/274/face-with-spiral-eyes_1f635-200d-1f4ab.png
1F92F	fully-qualified     # 🤯 E5.0 exploding head	🤯	exploding head	<f0><9f><a4><af>	jaugur_exploding_head 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/exploding-head_1f92f.png
1F920	fully-qualified     # 🤠 E3.0 cowboy hat face	🤠	cowboy hat face	<f0><9f><a4><a0>	jaugur_cowboy_hat_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/cowboy-hat-face_1f920.png
1F973	fully-qualified     # 🥳 E11.0 partying face	🥳	partying face	<f0><9f><a5><b3>	jaugur_partying_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/partying-face_1f973.png
1F978	fully-qualified     # 🥸 E13.0 disguised face	🥸	disguised face	<f0><9f><a5><b8>	jaugur_disguised_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/disguised-face_1f978.png
1F60E	fully-qualified     # 😎 E1.0 smiling face with sunglasses	😎	smiling face with sunglasses	<f0><9f><98><8e>	jaugur_smiling_face_with_sunglasses 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-sunglasses_1f60e.png
1F913	fully-qualified     # 🤓 E1.0 nerd face	🤓	nerd face	<f0><9f><a4><93>	jaugur_nerd_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/nerd-face_1f913.png
1F9D0	fully-qualified     # 🧐 E5.0 face with monocle	🧐	face with monocle	<f0><9f><a7><90>	jaugur_face_with_monocle 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-monocle_1f9d0.png
1F615	fully-qualified     # 😕 E1.0 confused face	😕	confused face	<f0><9f><98><95>	jaugur_confused_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/confused-face_1f615.png
1F61F	fully-qualified     # 😟 E1.0 worried face	😟	worried face	<f0><9f><98><9f>	jaugur_worried_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/worried-face_1f61f.png
1F641	fully-qualified     # 🙁 E1.0 slightly frowning face	🙁	slightly frowning face	<f0><9f><99><81>	jaugur_slightly_frowning_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/slightly-frowning-face_1f641.png
2639 FE0F	fully-qualified     # ☹️ E0.7 frowning face	☹️	frowning face	<e2><98><b9><ef><b8><8f>	jaugur_frowning_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/frowning-face_2639-fe0f.png
2639	unqualified         # ☹ E0.7 frowning face	☹	frowning face	<e2><98><b9>	jaugur_frowning_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/frowning-face_2639-fe0f.png
1F62E	fully-qualified     # 😮 E1.0 face with open mouth	😮	face with open mouth	<f0><9f><98><ae>	jaugur_face_with_open_mouth 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-open-mouth_1f62e.png
1F62F	fully-qualified     # 😯 E1.0 hushed face	😯	hushed face	<f0><9f><98><af>	jaugur_hushed_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/hushed-face_1f62f.png
1F632	fully-qualified     # 😲 E0.6 astonished face	😲	astonished face	<f0><9f><98><b2>	jaugur_astonished_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/astonished-face_1f632.png
1F633	fully-qualified     # 😳 E0.6 flushed face	😳	flushed face	<f0><9f><98><b3>	jaugur_flushed_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/flushed-face_1f633.png
1F97A	fully-qualified     # 🥺 E11.0 pleading face	🥺	pleading face	<f0><9f><a5><ba>	jaugur_pleading_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/pleading-face_1f97a.png
1F626	fully-qualified     # 😦 E1.0 frowning face with open mouth	😦	frowning face with open mouth	<f0><9f><98><a6>	jaugur_frowning_face_with_open_mouth 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/frowning-face-with-open-mouth_1f626.png
1F627	fully-qualified     # 😧 E1.0 anguished face	😧	anguished face	<f0><9f><98><a7>	jaugur_anguished_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/anguished-face_1f627.png
1F628	fully-qualified     # 😨 E0.6 fearful face	😨	fearful face	<f0><9f><98><a8>	jaugur_fearful_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/fearful-face_1f628.png
1F630	fully-qualified     # 😰 E0.6 anxious face with sweat	😰	anxious face with sweat	<f0><9f><98><b0>	jaugur_anxious_face_with_sweat 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/anxious-face-with-sweat_1f630.png
1F625	fully-qualified     # 😥 E0.6 sad but relieved face	😥	sad but relieved face	<f0><9f><98><a5>	jaugur_sad_but_relieved_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/sad-but-relieved-face_1f625.png
1F622	fully-qualified     # 😢 E0.6 crying face	😢	crying face	<f0><9f><98><a2>	jaugur_crying_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/crying-face_1f622.png
1F62D	fully-qualified     # 😭 E0.6 loudly crying face	😭	loudly crying face	<f0><9f><98><ad>	jaugur_loudly_crying_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/loudly-crying-face_1f62d.png
1F631	fully-qualified     # 😱 E0.6 face screaming in fear	😱	face screaming in fear	<f0><9f><98><b1>	jaugur_face_screaming_in_fear 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-screaming-in-fear_1f631.png
1F616	fully-qualified     # 😖 E0.6 confounded face	😖	confounded face	<f0><9f><98><96>	jaugur_confounded_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/confounded-face_1f616.png
1F623	fully-qualified     # 😣 E0.6 persevering face	😣	persevering face	<f0><9f><98><a3>	jaugur_persevering_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/persevering-face_1f623.png
1F61E	fully-qualified     # 😞 E0.6 disappointed face	😞	disappointed face	<f0><9f><98><9e>	jaugur_disappointed_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/disappointed-face_1f61e.png
1F613	fully-qualified     # 😓 E0.6 downcast face with sweat	😓	downcast face with sweat	<f0><9f><98><93>	jaugur_downcast_face_with_sweat 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/downcast-face-with-sweat_1f613.png
1F629	fully-qualified     # 😩 E0.6 weary face	😩	weary face	<f0><9f><98><a9>	jaugur_weary_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/weary-face_1f629.png
1F62B	fully-qualified     # 😫 E0.6 tired face	😫	tired face	<f0><9f><98><ab>	jaugur_tired_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/tired-face_1f62b.png
1F971	fully-qualified     # 🥱 E12.0 yawning face	🥱	yawning face	<f0><9f><a5><b1>	jaugur_yawning_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/yawning-face_1f971.png
1F624	fully-qualified     # 😤 E0.6 face with steam from nose	😤	face with steam from nose	<f0><9f><98><a4>	jaugur_face_with_steam_from_nose 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-steam-from-nose_1f624.png
1F621	fully-qualified     # 😡 E0.6 pouting face	😡	pouting face	<f0><9f><98><a1>	jaugur_pouting_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/pouting-face_1f621.png
1F620	fully-qualified     # 😠 E0.6 angry face	😠	angry face	<f0><9f><98><a0>	jaugur_angry_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/angry-face_1f620.png
1F92C	fully-qualified     # 🤬 E5.0 face with symbols on mouth	🤬	face with symbols on mouth	<f0><9f><a4><ac>	jaugur_face_with_symbols_on_mouth 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-symbols-on-mouth_1f92c.png
1F608	fully-qualified     # 😈 E1.0 smiling face with horns	😈	smiling face with horns	<f0><9f><98><88>	jaugur_smiling_face_with_horns 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-horns_1f608.png
1F47F	fully-qualified     # 👿 E0.6 angry face with horns	👿	angry face with horns	<f0><9f><91><bf>	jaugur_angry_face_with_horns 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/angry-face-with-horns_1f47f.png
1F480	fully-qualified     # 💀 E0.6 skull	💀	skull	<f0><9f><92><80>	jaugur_skull 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/skull_1f480.png
2620 FE0F	fully-qualified     # ☠️ E1.0 skull and crossbones	☠️	skull and crossbones	<e2><98><a0><ef><b8><8f>	jaugur_skull_and_crossbones 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/skull-and-crossbones_2620-fe0f.png
2620	unqualified         # ☠ E1.0 skull and crossbones	☠	skull and crossbones	<e2><98><a0>	jaugur_skull_and_crossbones 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/skull-and-crossbones_2620-fe0f.png
1F4A9	fully-qualified     # 💩 E0.6 pile of poo	💩	pile of poo	<f0><9f><92><a9>	jaugur_pile_of_poo 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/pile-of-poo_1f4a9.png
1F921	fully-qualified     # 🤡 E3.0 clown face	🤡	clown face	<f0><9f><a4><a1>	jaugur_clown_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/clown-face_1f921.png
1F479	fully-qualified     # 👹 E0.6 ogre	👹	ogre	<f0><9f><91><b9>	jaugur_ogre 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/ogre_1f479.png
1F47A	fully-qualified     # 👺 E0.6 goblin	👺	goblin	<f0><9f><91><ba>	jaugur_goblin 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/goblin_1f47a.png
1F47B	fully-qualified     # 👻 E0.6 ghost	👻	ghost	<f0><9f><91><bb>	jaugur_ghost 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/ghost_1f47b.png
1F47D	fully-qualified     # 👽 E0.6 alien	👽	alien	<f0><9f><91><bd>	jaugur_alien 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/alien_1f47d.png
1F47E	fully-qualified     # 👾 E0.6 alien monster	👾	alien monster	<f0><9f><91><be>	jaugur_alien_monster 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/alien-monster_1f47e.png
