code	notes	emoji	description	ASCII	tagged_desc	url
1F3C3 1F3FC 200D 2642 FE0F	fully-qualified     # 🏃🏼‍♂️ E4.0 man running: medium-light skin tone	🏃🏼‍♂️	man running: medium-light skin tone	<f0><9f><8f><83><f0><9f><8f><bc><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_running:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-running-medium-light-skin-tone_1f3c3-1f3fc-200d-2642-fe0f.png
1F3C3 1F3FC 200D 2642	minimally-qualified # 🏃🏼‍♂ E4.0 man running: medium-light skin tone	🏃🏼‍♂	man running: medium-light skin tone	<f0><9f><8f><83><f0><9f><8f><bc><e2><80><8d><e2><99><82>	jaugur_man_running:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-running-medium-light-skin-tone_1f3c3-1f3fc-200d-2642-fe0f.png
1F3C3 1F3FD 200D 2642 FE0F	fully-qualified     # 🏃🏽‍♂️ E4.0 man running: medium skin tone	🏃🏽‍♂️	man running: medium skin tone	<f0><9f><8f><83><f0><9f><8f><bd><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_running:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-running-medium-skin-tone_1f3c3-1f3fd-200d-2642-fe0f.png
1F3C3 1F3FD 200D 2642	minimally-qualified # 🏃🏽‍♂ E4.0 man running: medium skin tone	🏃🏽‍♂	man running: medium skin tone	<f0><9f><8f><83><f0><9f><8f><bd><e2><80><8d><e2><99><82>	jaugur_man_running:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-running-medium-skin-tone_1f3c3-1f3fd-200d-2642-fe0f.png
1F3C3 1F3FE 200D 2642 FE0F	fully-qualified     # 🏃🏾‍♂️ E4.0 man running: medium-dark skin tone	🏃🏾‍♂️	man running: medium-dark skin tone	<f0><9f><8f><83><f0><9f><8f><be><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_running:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-running-medium-dark-skin-tone_1f3c3-1f3fe-200d-2642-fe0f.png
1F3C3 1F3FE 200D 2642	minimally-qualified # 🏃🏾‍♂ E4.0 man running: medium-dark skin tone	🏃🏾‍♂	man running: medium-dark skin tone	<f0><9f><8f><83><f0><9f><8f><be><e2><80><8d><e2><99><82>	jaugur_man_running:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-running-medium-dark-skin-tone_1f3c3-1f3fe-200d-2642-fe0f.png
1F3C3 1F3FF 200D 2642 FE0F	fully-qualified     # 🏃🏿‍♂️ E4.0 man running: dark skin tone	🏃🏿‍♂️	man running: dark skin tone	<f0><9f><8f><83><f0><9f><8f><bf><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_running:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-running-dark-skin-tone_1f3c3-1f3ff-200d-2642-fe0f.png
1F3C3 1F3FF 200D 2642	minimally-qualified # 🏃🏿‍♂ E4.0 man running: dark skin tone	🏃🏿‍♂	man running: dark skin tone	<f0><9f><8f><83><f0><9f><8f><bf><e2><80><8d><e2><99><82>	jaugur_man_running:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-running-dark-skin-tone_1f3c3-1f3ff-200d-2642-fe0f.png
1F3C3 200D 2640 FE0F	fully-qualified     # 🏃‍♀️ E4.0 woman running	🏃‍♀️	woman running	<f0><9f><8f><83><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_running 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running_1f3c3-200d-2640-fe0f.png
1F3C3 200D 2640	minimally-qualified # 🏃‍♀ E4.0 woman running	🏃‍♀	woman running	<f0><9f><8f><83><e2><80><8d><e2><99><80>	jaugur_woman_running 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running_1f3c3-200d-2640-fe0f.png
1F3C3 1F3FB 200D 2640 FE0F	fully-qualified     # 🏃🏻‍♀️ E4.0 woman running: light skin tone	🏃🏻‍♀️	woman running: light skin tone	<f0><9f><8f><83><f0><9f><8f><bb><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_running:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-light-skin-tone_1f3c3-1f3fb-200d-2640-fe0f.png
1F3C3 1F3FB 200D 2640	minimally-qualified # 🏃🏻‍♀ E4.0 woman running: light skin tone	🏃🏻‍♀	woman running: light skin tone	<f0><9f><8f><83><f0><9f><8f><bb><e2><80><8d><e2><99><80>	jaugur_woman_running:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-light-skin-tone_1f3c3-1f3fb-200d-2640-fe0f.png
1F3C3 1F3FC 200D 2640 FE0F	fully-qualified     # 🏃🏼‍♀️ E4.0 woman running: medium-light skin tone	🏃🏼‍♀️	woman running: medium-light skin tone	<f0><9f><8f><83><f0><9f><8f><bc><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_running:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-medium-light-skin-tone_1f3c3-1f3fc-200d-2640-fe0f.png
1F3C3 1F3FC 200D 2640	minimally-qualified # 🏃🏼‍♀ E4.0 woman running: medium-light skin tone	🏃🏼‍♀	woman running: medium-light skin tone	<f0><9f><8f><83><f0><9f><8f><bc><e2><80><8d><e2><99><80>	jaugur_woman_running:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-medium-light-skin-tone_1f3c3-1f3fc-200d-2640-fe0f.png
1F3C3 1F3FD 200D 2640 FE0F	fully-qualified     # 🏃🏽‍♀️ E4.0 woman running: medium skin tone	🏃🏽‍♀️	woman running: medium skin tone	<f0><9f><8f><83><f0><9f><8f><bd><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_running:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-medium-skin-tone_1f3c3-1f3fd-200d-2640-fe0f.png
1F3C3 1F3FD 200D 2640	minimally-qualified # 🏃🏽‍♀ E4.0 woman running: medium skin tone	🏃🏽‍♀	woman running: medium skin tone	<f0><9f><8f><83><f0><9f><8f><bd><e2><80><8d><e2><99><80>	jaugur_woman_running:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-medium-skin-tone_1f3c3-1f3fd-200d-2640-fe0f.png
1F3C3 1F3FE 200D 2640 FE0F	fully-qualified     # 🏃🏾‍♀️ E4.0 woman running: medium-dark skin tone	🏃🏾‍♀️	woman running: medium-dark skin tone	<f0><9f><8f><83><f0><9f><8f><be><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_running:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-medium-dark-skin-tone_1f3c3-1f3fe-200d-2640-fe0f.png
1F3C3 1F3FE 200D 2640	minimally-qualified # 🏃🏾‍♀ E4.0 woman running: medium-dark skin tone	🏃🏾‍♀	woman running: medium-dark skin tone	<f0><9f><8f><83><f0><9f><8f><be><e2><80><8d><e2><99><80>	jaugur_woman_running:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-medium-dark-skin-tone_1f3c3-1f3fe-200d-2640-fe0f.png
1F3C3 1F3FF 200D 2640 FE0F	fully-qualified     # 🏃🏿‍♀️ E4.0 woman running: dark skin tone	🏃🏿‍♀️	woman running: dark skin tone	<f0><9f><8f><83><f0><9f><8f><bf><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_running:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-dark-skin-tone_1f3c3-1f3ff-200d-2640-fe0f.png
1F3C3 1F3FF 200D 2640	minimally-qualified # 🏃🏿‍♀ E4.0 woman running: dark skin tone	🏃🏿‍♀	woman running: dark skin tone	<f0><9f><8f><83><f0><9f><8f><bf><e2><80><8d><e2><99><80>	jaugur_woman_running:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-running-dark-skin-tone_1f3c3-1f3ff-200d-2640-fe0f.png
1F483	fully-qualified     # 💃 E0.6 woman dancing	💃	woman dancing	<f0><9f><92><83>	jaugur_woman_dancing 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-dancing_1f483.png
1F483 1F3FB	fully-qualified     # 💃🏻 E1.0 woman dancing: light skin tone	💃🏻	woman dancing: light skin tone	<f0><9f><92><83><f0><9f><8f><bb>	jaugur_woman_dancing:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-dancing_light-skin-tone_1f483-1f3fb_1f3fb.png
1F483 1F3FC	fully-qualified     # 💃🏼 E1.0 woman dancing: medium-light skin tone	💃🏼	woman dancing: medium-light skin tone	<f0><9f><92><83><f0><9f><8f><bc>	jaugur_woman_dancing:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-dancing_medium-light-skin-tone_1f483-1f3fc_1f3fc.png
1F483 1F3FD	fully-qualified     # 💃🏽 E1.0 woman dancing: medium skin tone	💃🏽	woman dancing: medium skin tone	<f0><9f><92><83><f0><9f><8f><bd>	jaugur_woman_dancing:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-dancing_medium-skin-tone_1f483-1f3fd_1f3fd.png
1F483 1F3FE	fully-qualified     # 💃🏾 E1.0 woman dancing: medium-dark skin tone	💃🏾	woman dancing: medium-dark skin tone	<f0><9f><92><83><f0><9f><8f><be>	jaugur_woman_dancing:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-dancing_medium-dark-skin-tone_1f483-1f3fe_1f3fe.png
1F483 1F3FF	fully-qualified     # 💃🏿 E1.0 woman dancing: dark skin tone	💃🏿	woman dancing: dark skin tone	<f0><9f><92><83><f0><9f><8f><bf>	jaugur_woman_dancing:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-dancing_dark-skin-tone_1f483-1f3ff_1f3ff.png
1F57A	fully-qualified     # 🕺 E3.0 man dancing	🕺	man dancing	<f0><9f><95><ba>	jaugur_man_dancing 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-dancing_1f57a.png
1F57A 1F3FB	fully-qualified     # 🕺🏻 E3.0 man dancing: light skin tone	🕺🏻	man dancing: light skin tone	<f0><9f><95><ba><f0><9f><8f><bb>	jaugur_man_dancing:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-dancing_light-skin-tone_1f57a-1f3fb_1f3fb.png
1F57A 1F3FC	fully-qualified     # 🕺🏼 E3.0 man dancing: medium-light skin tone	🕺🏼	man dancing: medium-light skin tone	<f0><9f><95><ba><f0><9f><8f><bc>	jaugur_man_dancing:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-dancing_medium-light-skin-tone_1f57a-1f3fc_1f3fc.png
1F57A 1F3FD	fully-qualified     # 🕺🏽 E3.0 man dancing: medium skin tone	🕺🏽	man dancing: medium skin tone	<f0><9f><95><ba><f0><9f><8f><bd>	jaugur_man_dancing:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-dancing_medium-skin-tone_1f57a-1f3fd_1f3fd.png
1F57A 1F3FE	fully-qualified     # 🕺🏾 E3.0 man dancing: medium-dark skin tone	🕺🏾	man dancing: medium-dark skin tone	<f0><9f><95><ba><f0><9f><8f><be>	jaugur_man_dancing:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-dancing_medium-dark-skin-tone_1f57a-1f3fe_1f3fe.png
1F57A 1F3FF	fully-qualified     # 🕺🏿 E3.0 man dancing: dark skin tone	🕺🏿	man dancing: dark skin tone	<f0><9f><95><ba><f0><9f><8f><bf>	jaugur_man_dancing:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-dancing_dark-skin-tone_1f57a-1f3ff_1f3ff.png
1F574 FE0F	fully-qualified     # 🕴️ E0.7 person in suit levitating	🕴️	person in suit levitating	<f0><9f><95><b4><ef><b8><8f>	jaugur_person_in_suit_levitating 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-suit-levitating_1f574-fe0f.png
1F574	unqualified         # 🕴 E0.7 person in suit levitating	🕴	person in suit levitating	<f0><9f><95><b4>	jaugur_person_in_suit_levitating 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-suit-levitating_1f574-fe0f.png
1F574 1F3FB	fully-qualified     # 🕴🏻 E4.0 person in suit levitating: light skin tone	🕴🏻	person in suit levitating: light skin tone	<f0><9f><95><b4><f0><9f><8f><bb>	jaugur_person_in_suit_levitating:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-suit-levitating_light-skin-tone_1f574-1f3fb_1f3fb.png
1F574 1F3FC	fully-qualified     # 🕴🏼 E4.0 person in suit levitating: medium-light skin tone	🕴🏼	person in suit levitating: medium-light skin tone	<f0><9f><95><b4><f0><9f><8f><bc>	jaugur_person_in_suit_levitating:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-suit-levitating_medium-light-skin-tone_1f574-1f3fc_1f3fc.png
1F574 1F3FD	fully-qualified     # 🕴🏽 E4.0 person in suit levitating: medium skin tone	🕴🏽	person in suit levitating: medium skin tone	<f0><9f><95><b4><f0><9f><8f><bd>	jaugur_person_in_suit_levitating:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-suit-levitating_medium-skin-tone_1f574-1f3fd_1f3fd.png
1F574 1F3FE	fully-qualified     # 🕴🏾 E4.0 person in suit levitating: medium-dark skin tone	🕴🏾	person in suit levitating: medium-dark skin tone	<f0><9f><95><b4><f0><9f><8f><be>	jaugur_person_in_suit_levitating:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-suit-levitating_medium-dark-skin-tone_1f574-1f3fe_1f3fe.png
1F574 1F3FF	fully-qualified     # 🕴🏿 E4.0 person in suit levitating: dark skin tone	🕴🏿	person in suit levitating: dark skin tone	<f0><9f><95><b4><f0><9f><8f><bf>	jaugur_person_in_suit_levitating:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-suit-levitating_dark-skin-tone_1f574-1f3ff_1f3ff.png
1F46F	fully-qualified     # 👯 E0.6 people with bunny ears	👯	people with bunny ears	<f0><9f><91><af>	jaugur_people_with_bunny_ears 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/people-with-bunny-ears_1f46f.png
1F46F 200D 2642 FE0F	fully-qualified     # 👯‍♂️ E4.0 men with bunny ears	👯‍♂️	men with bunny ears	<f0><9f><91><af><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_men_with_bunny_ears 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/men-with-bunny-ears_1f46f-200d-2642-fe0f.png
1F46F 200D 2642	minimally-qualified # 👯‍♂ E4.0 men with bunny ears	👯‍♂	men with bunny ears	<f0><9f><91><af><e2><80><8d><e2><99><82>	jaugur_men_with_bunny_ears 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/men-with-bunny-ears_1f46f-200d-2642-fe0f.png
1F46F 200D 2640 FE0F	fully-qualified     # 👯‍♀️ E4.0 women with bunny ears	👯‍♀️	women with bunny ears	<f0><9f><91><af><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_women_with_bunny_ears 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/women-with-bunny-ears_1f46f-200d-2640-fe0f.png
1F46F 200D 2640	minimally-qualified # 👯‍♀ E4.0 women with bunny ears	👯‍♀	women with bunny ears	<f0><9f><91><af><e2><80><8d><e2><99><80>	jaugur_women_with_bunny_ears 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/women-with-bunny-ears_1f46f-200d-2640-fe0f.png
1F9D6	fully-qualified     # 🧖 E5.0 person in steamy room	🧖	person in steamy room	<f0><9f><a7><96>	jaugur_person_in_steamy_room 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-steamy-room_1f9d6.png
1F9D6 1F3FB	fully-qualified     # 🧖🏻 E5.0 person in steamy room: light skin tone	🧖🏻	person in steamy room: light skin tone	<f0><9f><a7><96><f0><9f><8f><bb>	jaugur_person_in_steamy_room:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-steamy-room_light-skin-tone_1f9d6-1f3fb_1f3fb.png
1F9D6 1F3FC	fully-qualified     # 🧖🏼 E5.0 person in steamy room: medium-light skin tone	🧖🏼	person in steamy room: medium-light skin tone	<f0><9f><a7><96><f0><9f><8f><bc>	jaugur_person_in_steamy_room:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-in-steamy-room_medium-light-skin-tone_1f9d6-1f3fc_1f3fc.png
